Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testAssignEmptyForeignCollectionThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCallBatchTasksThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCloseLastIteratorThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCloseLastIteratorThrows,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCommitThrows,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCountOfPreparedThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCountOfThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCreateCollectionThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCreateIfNotExistsThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCreateObjectInstanceThrows,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCreateOrUpdateThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testCreateThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testDeleteByIdThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testDeleteCollectionThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testDeleteIdsThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
https://github.com/j256/ormlite-core,632b87c2a455b8eab4a6c09324e1f166273588d8,.,com.j256.ormlite.dao.RuntimeExceptionDaoTest.testDeletePreparedThrow,OD-Vic,Accepted,https://github.com/j256/ormlite-core/pull/310,
